group	corr_value	gene_id
Targets	0.02344	ENSG00000156256
Targets	-0.06193	ENSG00000163399
Targets	0.03682	ENSG00000118705
Targets	0.14315	ENSG00000102316
Targets	-0.19171	ENSG00000198242
Targets	0.033	ENSG00000142856
Targets	0.05907	ENSG00000055130
Targets	0.23533	ENSG00000138778
Targets	0.06027	ENSG00000116906
Targets	-0.19024	ENSG00000164032
Targets	-0.12652	ENSG00000147687
Targets	0.00037	ENSG00000138801
Targets	0.18874	ENSG00000184897
Targets	-0.21554	ENSG00000133112
Targets	-0.23777	ENSG00000104408
Targets	-0.1018	ENSG00000177105
Targets	-0.10154	ENSG00000168078
Targets	-0.09851	ENSG00000134291
Targets	0.03595	ENSG00000180964
Targets	-0.00037	ENSG00000173409
Targets	-0.03961	ENSG00000141698
Targets	-0.13104	ENSG00000188846
Targets	0.08875	ENSG00000133740
Targets	-0.08258	ENSG00000214194
Targets	0.22666	ENSG00000102409
Targets	-0.08053	ENSG00000089220
Targets	-0.14057	ENSG00000031691
Targets	-0.25597	ENSG00000057608
Targets	-0.13468	ENSG00000101444
Targets	0.03694	ENSG00000175745
Targets	-0.0055	ENSG00000103507
Targets	-0.2523	ENSG00000254999
Targets	-0.15168	ENSG00000204628
Targets	0.04891	ENSG00000173456
Targets	-0.11984	ENSG00000146007
Targets	-0.02471	ENSG00000183527
Targets	0.12763	ENSG00000025156
Targets	0.05689	ENSG00000131473
Targets	-0.10164	ENSG00000114779
Targets	-0.29699	ENSG00000100528
Targets	0.08103	ENSG00000143870
Targets	-0.07126	ENSG00000102978
Targets	0.01176	ENSG00000146278
Targets	0.37705	ENSG00000162086
Targets	-0.04916	ENSG00000169714
Targets	0.03716	ENSG00000071539
Targets	-0.10354	ENSG00000164111
Targets	-0.27192	ENSG00000110958
Targets	0.0078	ENSG00000198901
Targets	-0.20167	ENSG00000134333
Targets	-0.10552	ENSG00000145386
Targets	-0.10654	ENSG00000107745
Targets	0.23772	ENSG00000183337
Targets	0.01988	ENSG00000036549
Targets	-0.08505	ENSG00000171503
Targets	0.01696	ENSG00000053770
Targets	-0.01202	ENSG00000164237
Targets	0.0599	ENSG00000147140
Targets	-0.14076	ENSG00000146729
Targets	-0.0223	ENSG00000184117
Targets	-0.25481	ENSG00000137575
Targets	-0.21715	ENSG00000113732
Targets	0.15333	ENSG00000170558
Targets	-0.14702	ENSG00000168036
Targets	-0.0365	ENSG00000183431
Targets	-0.08337	ENSG00000143183
Targets	0.04207	ENSG00000107789
Targets	-0.08357	ENSG00000121774
Targets	0.00734	ENSG00000009307
Targets	0.10325	ENSG00000108578
Targets	0.14613	ENSG00000197050
Targets	0.11059	ENSG00000179981
Targets	-0.27733	ENSG00000148672
Targets	-0.06081	ENSG00000131558
Targets	0.00064	ENSG00000182054
Targets	-0.12738	ENSG00000101911
Targets	-0.0426	ENSG00000143321
Targets	-0.13036	ENSG00000147654
Targets	0.38295	ENSG00000100941
Targets	0.03634	ENSG00000104738
Targets	0.05257	ENSG00000108468
Targets	0.14025	ENSG00000097046
Targets	0.07696	ENSG00000056097
Targets	0.05607	ENSG00000111276
Targets	-0.052	ENSG00000129514
Targets	-0.21626	ENSG00000165119
Targets	-0.00356	ENSG00000023287
Targets	0.15056	ENSG00000120948
Targets	0.05239	ENSG00000137193
Targets	-0.00917	ENSG00000198860
Targets	-0.0059	ENSG00000076248
Targets	-0.14896	ENSG00000186298
Targets	-0.02006	ENSG00000197275
Targets	0.12695	ENSG00000076321
Targets	0.09843	ENSG00000152767
Targets	-0.01072	ENSG00000136108
Targets	0.07823	ENSG00000122482
Targets	0.04385	ENSG00000137310
Targets	-0.16827	ENSG00000122203
Targets	-0.08632	ENSG00000164219
Targets	-0.05861	ENSG00000100938
Targets	-0.00831	ENSG00000148498
Targets	-0.03806	ENSG00000113790
Targets	-0.06561	ENSG00000164754
Targets	0.05103	ENSG00000131873
Targets	-0.08081	ENSG00000093144
Targets	-0.09772	ENSG00000064726
Targets	-0.12575	ENSG00000014919
Targets	0.16916	ENSG00000167785
Targets	-0.21895	ENSG00000230989
Targets	-0.13059	ENSG00000214114
Targets	0.18645	ENSG00000177733
Targets	-0.09347	ENSG00000119801
Targets	0.09047	ENSG00000106327
Targets	-0.1049	ENSG00000138698
Targets	0.0956	ENSG00000147894
Targets	-0.02721	ENSG00000174720
Targets	0.07635	ENSG00000112972
Targets	0.03401	ENSG00000106034
Targets	-0.2472	ENSG00000120992
Targets	-0.01101	ENSG00000134602
Targets	-0.11512	ENSG00000131844
Targets	0.03282	ENSG00000137822
Targets	-0.0274	ENSG00000114062
Targets	0.18744	ENSG00000170271
Targets	-0.0539	ENSG00000158417
Targets	-0.18865	ENSG00000173812
Targets	-0.08331	ENSG00000128050
Targets	-0.04883	ENSG00000145354
Targets	0.06339	ENSG00000149313
Targets	-0.15727	ENSG00000119471
Targets	-0.00042	ENSG00000143815
Targets	-0.13909	ENSG00000139323
Targets	-0.15666	ENSG00000108061
Targets	-0.07797	ENSG00000115839
Targets	-0.16331	ENSG00000104442
Targets	-0.03158	ENSG00000163900
Targets	-0.19407	ENSG00000109519
Targets	0.0155	ENSG00000244509
Targets	0.07776	ENSG00000164983
Targets	-0.16154	ENSG00000074696
Targets	0.16278	ENSG00000013523
Targets	-0.08093	ENSG00000063046
Targets	-0.03462	ENSG00000138592
Targets	-0.10989	ENSG00000183255
Targets	0.04981	ENSG00000134283
Targets	-0.14109	ENSG00000197006
Targets	0.00241	ENSG00000155380
Targets	-0.09277	ENSG00000198431
Targets	0.06406	ENSG00000143033
Targets	-0.07462	ENSG00000168710
Targets	-0.05239	ENSG00000136240
Targets	0.1035	ENSG00000103540
Targets	0.06797	ENSG00000089094
Targets	-0.04227	ENSG00000012963
Targets	-0.11362	ENSG00000147676
Targets	-0.06327	ENSG00000127022
Targets	0.1426	ENSG00000102081
Targets	0.05244	ENSG00000172175
Targets	-0.10956	ENSG00000067955
Targets	-0.0751	ENSG00000244405
Targets	0.02441	ENSG00000101126
Targets	0.04265	ENSG00000185432
Targets	0.02492	ENSG00000120696
Targets	-0.14848	ENSG00000165609
Targets	0.00467	ENSG00000040341
Targets	0.05917	ENSG00000138386
Targets	-0.22872	ENSG00000084733
Targets	-0.11095	ENSG00000185515
Targets	0.00746	ENSG00000120802
Targets	0.00307	ENSG00000186193
Targets	0.1733	ENSG00000148773
Targets	-0.07649	ENSG00000095209
Targets	-0.17648	ENSG00000152558
Targets	-0.0834	ENSG00000157224
Targets	-0.07629	ENSG00000062485
Targets	-0.13523	ENSG00000153310
Targets	0.03831	ENSG00000163788
Targets	-0.0527	ENSG00000126858
Targets	-0.19438	ENSG00000153179
Targets	-0.09838	ENSG00000104660
Targets	0.0099	ENSG00000075303
Targets	0.2091	ENSG00000110344
Targets	0.04707	ENSG00000128595
Targets	-0.00094	ENSG00000123472
Targets	-0.07685	ENSG00000121644
Targets	-0.05099	ENSG00000169756
Targets	0.22987	ENSG00000114120
Targets	0.06343	ENSG00000124198
Targets	0.02295	ENSG00000145782
Targets	0.17579	ENSG00000185344
Targets	0.06362	ENSG00000134243
Targets	-0.02519	ENSG00000018510
Targets	0.22316	ENSG00000182985
Targets	-0.027	ENSG00000145592
Targets	0.06661	ENSG00000172795
