group	corr_value	gene_id
Targets	-0.08878	ENSG00000213445
Targets	-0.01485	ENSG00000175197
Targets	0.02898	ENSG00000204469
Targets	-0.02243	ENSG00000101940
Targets	0.02194	ENSG00000126458
Targets	0.12011	ENSG00000105707
Targets	0.10131	ENSG00000126368
Targets	0.01167	ENSG00000183087
Targets	0.02841	ENSG00000187193
Targets	0.01936	ENSG00000160799
Targets	-0.06848	ENSG00000147251
Targets	0.00111	ENSG00000163932
Targets	0.00102	ENSG00000143545
Targets	0.06352	ENSG00000197933
Targets	0.00425	ENSG00000122257
Targets	0.00737	ENSG00000136997
Targets	-0.0036	ENSG00000132323
Targets	-0.03419	ENSG00000102226
Targets	0.04385	ENSG00000123358
Targets	0.01028	ENSG00000117318
Targets	0.01711	ENSG00000027697
Targets	-0.01151	ENSG00000157873
Targets	0.06307	ENSG00000125503
Targets	0.05815	ENSG00000070047
Targets	0.03616	ENSG00000174718
Targets	0.04969	ENSG00000174938
Targets	-0.06131	ENSG00000116871
Targets	0.10611	ENSG00000114315
Targets	0.01091	ENSG00000008869
Targets	-0.0258	ENSG00000120129
Targets	-0.03356	ENSG00000156983
Targets	0.03625	ENSG00000065154
Targets	0.00826	ENSG00000008405
Targets	0.0279	ENSG00000079432
Targets	0.07438	ENSG00000125968
Targets	0.00888	ENSG00000157613
Targets	0.02302	ENSG00000168216
Targets	0.04501	ENSG00000162736
Targets	0.06684	ENSG00000172216
Targets	-0.02671	ENSG00000116266
Targets	0.09525	ENSG00000196422
Targets	-0.01831	ENSG00000060069
Targets	0.05961	ENSG00000177728
Targets	-0.04837	ENSG00000131669
Targets	0.04317	ENSG00000115738
Targets	0.10295	ENSG00000119139
Targets	0.10153	ENSG00000169242
Targets	0.05889	ENSG00000175130
Targets	0.01917	ENSG00000072182
Targets	-0.00767	ENSG00000177303
Targets	-0.04534	ENSG00000100109
Targets	0.12821	ENSG00000142655
Targets	0.14797	ENSG00000083857
Targets	0.07452	ENSG00000141582
Targets	0.03786	ENSG00000126705
Targets	-0.06409	ENSG00000179431
Targets	0.10744	ENSG00000120075
Targets	0.04569	ENSG00000121104
Targets	0.03113	ENSG00000168758
Targets	-0.02043	ENSG00000167716
Targets	0.06107	ENSG00000160271
Targets	0.10732	ENSG00000072071
Targets	-0.08175	ENSG00000152804
Targets	0.08468	ENSG00000175556
Targets	0.03587	ENSG00000020256
Targets	-0.04551	ENSG00000165359
Targets	0.05845	ENSG00000116580
Targets	0.0798	ENSG00000198793
Targets	0.05702	ENSG00000139182
Targets	0.10172	ENSG00000185236
Targets	-0.03588	ENSG00000115310
Targets	0.0151	ENSG00000127870
Targets	0.0926	ENSG00000128917
Targets	0.08437	ENSG00000065526
Targets	0.07459	ENSG00000130827
Targets	-0.02999	ENSG00000143862
Targets	0.02723	ENSG00000106537
Targets	-0.0223	ENSG00000100906
Targets	0.05804	ENSG00000101474
Targets	-0.02968	ENSG00000110514
Targets	0.01306	ENSG00000147364
Targets	0.16513	ENSG00000164695
Targets	-0.03229	ENSG00000175348
Targets	0.05886	ENSG00000172071
Targets	0.04388	ENSG00000052841
Targets	0.10769	ENSG00000148296
Targets	0.04166	ENSG00000188313
Targets	-0.02346	ENSG00000105856
Targets	0.07928	ENSG00000102100
Targets	0.0335	ENSG00000162909
Targets	0.06799	ENSG00000043355
Targets	0.11056	ENSG00000132002
Targets	0.10933	ENSG00000103326
Targets	-0.02885	ENSG00000109099
Targets	0.03087	ENSG00000092820
Targets	0.14817	ENSG00000163162
