group	corr_value	gene_id
Targets	-0.13888	ENSG00000164611
Targets	0.1082	ENSG00000258643
Targets	-0.17779	ENSG00000185608
Targets	0.09812	ENSG00000169020
Targets	0.04064	ENSG00000005448
Targets	-0.0282	ENSG00000128272
Targets	-0.07272	ENSG00000188394
Targets	-0.21802	ENSG00000154719
Targets	0.09825	ENSG00000138399
Targets	0.30524	ENSG00000181392
Targets	0.09619	ENSG00000124588
Targets	-0.03895	ENSG00000070785
Targets	0.00053	ENSG00000134901
Targets	0.12091	ENSG00000066279
Targets	-0.07348	ENSG00000149925
Targets	0.02183	ENSG00000077312
Targets	0.1148	ENSG00000128228
Targets	-0.03917	ENSG00000176946
Targets	0.09336	ENSG00000006712
Targets	0.22668	ENSG00000204316
Targets	-0.17025	ENSG00000115128
Targets	0.12534	ENSG00000151500
Targets	-0.01747	ENSG00000163923
Targets	-0.12538	ENSG00000124570
Targets	-0.09295	ENSG00000157456
Targets	0.00018	ENSG00000182712
Targets	-0.01852	ENSG00000132432
Targets	-0.07689	ENSG00000162385
Targets	-0.03196	ENSG00000104889
Targets	-0.12675	ENSG00000105404
Targets	0.27065	ENSG00000197961
Targets	0.30857	ENSG00000100288
Targets	1e-05	ENSG00000213722
Targets	-0.05323	ENSG00000265303
Targets	0.04614	ENSG00000188229
Targets	0.08562	ENSG00000204435
Targets	-0.02538	ENSG00000166477
Targets	0.12303	ENSG00000135314
Targets	-0.09412	ENSG00000067057
Targets	-0.08962	ENSG00000197728
Targets	-0.02338	ENSG00000237649
Targets	0.27725	ENSG00000105538
Targets	-0.17672	ENSG00000172428
Targets	-0.1789	ENSG00000154723
Targets	-0.06167	ENSG00000243678
Targets	0.17671	ENSG00000216490
Targets	-0.0347	ENSG00000111716
Targets	0.40618	ENSG00000125462
Targets	0.16625	ENSG00000259305
Targets	-0.13997	ENSG00000117133
Targets	0.01985	ENSG00000117395
Targets	0.01001	ENSG00000077348
Targets	0.15807	ENSG00000068120
Targets	-0.1496	ENSG00000108518
Targets	0.07495	ENSG00000105321
Targets	-0.14632	ENSG00000145912
Targets	-0.04593	ENSG00000259132
Targets	0.16655	ENSG00000166598
Targets	0.02379	ENSG00000141428
Targets	0.02579	ENSG00000093009
Targets	0.0246	ENSG00000135829
Targets	0.15225	ENSG00000198171
Targets	-0.15386	ENSG00000105193
Targets	0.1243	ENSG00000256188
Targets	-0.09736	ENSG00000143947
Targets	-0.1099	ENSG00000177352
Targets	-0.00083	ENSG00000164051
Targets	-0.068	ENSG00000186871
Targets	-0.06125	ENSG00000096384
Targets	0.26616	ENSG00000232040
Targets	0.01432	ENSG00000165304
Targets	-0.18295	ENSG00000168288
Targets	-0.15377	ENSG00000182117
Targets	0.05842	ENSG00000172336
Targets	-0.14988	ENSG00000130255
Targets	-0.11438	ENSG00000089289
Targets	0.11789	ENSG00000107281
Targets	0.01939	ENSG00000138385
Targets	-0.16393	ENSG00000029639
Targets	-0.02019	ENSG00000163399
Targets	-0.12882	ENSG00000125148
Targets	0.0889	ENSG00000007255
Targets	-0.05442	ENSG00000078674
Targets	-0.11998	ENSG00000102390
Targets	-0.02175	ENSG00000166851
Targets	-0.04708	ENSG00000130177
Targets	-0.0335	ENSG00000156469
Targets	-0.04214	ENSG00000134809
Targets	0.17483	ENSG00000143294
Targets	0.01202	ENSG00000178057
Targets	-0.04815	ENSG00000167468
Targets	-0.00983	ENSG00000125534
Targets	0.03956	ENSG00000105677
Targets	0.08752	ENSG00000185475
Targets	-0.03518	ENSG00000129562
Targets	0.15968	ENSG00000089737
Targets	-0.08598	ENSG00000137947
Targets	0.06123	ENSG00000125991
Targets	0.02449	ENSG00000184584
Targets	0.11905	ENSG00000118705
Targets	0.03867	ENSG00000137563
Targets	-0.05639	ENSG00000053371
Targets	-0.01021	ENSG00000007080
Targets	-0.06012	ENSG00000131495
Targets	0.0552	ENSG00000088826
Targets	-0.04212	ENSG00000180817
Targets	0.04591	ENSG00000086504
Targets	0.19804	ENSG00000177192
Targets	0.03702	ENSG00000213934
Targets	0.06191	ENSG00000163536
Targets	-0.12959	ENSG00000164182
Targets	0.04452	ENSG00000085840
Targets	-0.03062	ENSG00000087302
Targets	0.074	ENSG00000004487
Targets	0.09777	ENSG00000104549
Targets	-0.09593	ENSG00000135624
Targets	-0.03919	ENSG00000183684
Targets	-0.00502	ENSG00000143228
Targets	-0.02187	ENSG00000262814
Targets	0.0898	ENSG00000116521
Targets	-0.10446	ENSG00000042753
Targets	-0.00485	ENSG00000140990
Targets	-0.03051	ENSG00000134153
Targets	0.03633	ENSG00000148444
Targets	0.24311	ENSG00000221995
Targets	0.06201	ENSG00000067248
Targets	-0.07091	ENSG00000102316
Targets	-0.15494	ENSG00000164346
Targets	-0.1287	ENSG00000241837
Targets	0.16243	ENSG00000182944
Targets	0.08276	ENSG00000130023
Targets	-0.04593	ENSG00000260537
Targets	-0.03969	ENSG00000130066
Targets	-0.0511	ENSG00000253250
Targets	0.02098	ENSG00000105583
Targets	0.02022	ENSG00000116649
Targets	0.12876	ENSG00000241058
Targets	0.05049	ENSG00000267855
Targets	-0.06871	ENSG00000156482
Targets	0.1023	ENSG00000169750
Targets	0.04543	ENSG00000120306
Targets	0.10936	ENSG00000204388
Targets	-0.12636	ENSG00000138381
Targets	0.38021	ENSG00000121716
Targets	0.14331	ENSG00000175575
Targets	-0.13513	ENSG00000203760
Targets	0.24317	ENSG00000158373
Targets	0.03135	ENSG00000196290
Targets	-0.02326	ENSG00000164104
Targets	-0.13121	ENSG00000180992
Targets	-0.02263	ENSG00000169564
Targets	-0.03466	ENSG00000127884
Targets	0.09931	ENSG00000130818
Targets	-0.06764	ENSG00000177954
Targets	0.15949	ENSG00000090520
Targets	0.03755	ENSG00000134825
Targets	0.01513	ENSG00000153774
Targets	0.17215	ENSG00000109083
Targets	-0.03191	ENSG00000163344
Targets	-0.09283	ENSG00000215021
Targets	0.02248	ENSG00000166508
Targets	0.20215	ENSG00000197903
Targets	0.17556	ENSG00000259494
Targets	0.04484	ENSG00000102226
Targets	0.03716	ENSG00000164647
Targets	0.29494	ENSG00000173992
Targets	0.0772	ENSG00000213123
Targets	0.0303	ENSG00000100749
Targets	0.01522	ENSG00000143499
Targets	-0.05314	ENSG00000100632
Targets	0.08536	ENSG00000130822
Targets	-0.10364	ENSG00000137818
Targets	0.15294	ENSG00000168701
Targets	-0.18088	ENSG00000114784
Targets	0.134	ENSG00000133027
Targets	0.01768	ENSG00000132323
Targets	0.04591	ENSG00000110171
Targets	0.19345	ENSG00000138778
Targets	0.09028	ENSG00000119640
Targets	0.15594	ENSG00000122257
Targets	-0.03118	ENSG00000066336
Targets	-0.16103	ENSG00000155876
Targets	0.28163	ENSG00000119888
Targets	0.12751	ENSG00000198924
Targets	-0.01815	ENSG00000127337
Targets	-0.17989	ENSG00000185721
Targets	-0.15992	ENSG00000102172
Targets	-0.09444	ENSG00000147872
Targets	-0.06601	ENSG00000110330
Targets	-0.03476	ENSG00000088930
Targets	0.30102	ENSG00000266967
Targets	0.1126	ENSG00000100567
Targets	0.06321	ENSG00000117419
Targets	0.36226	ENSG00000213983
Targets	-0.10846	ENSG00000198818
Targets	0.00743	ENSG00000091640
Targets	0.08413	ENSG00000137285
Targets	0.00669	ENSG00000198805
Targets	0.01804	ENSG00000124802
Targets	-0.09843	ENSG00000170043
Targets	0.17577	ENSG00000257727
Targets	0.03618	ENSG00000188130
Targets	0.26527	ENSG00000051009
Targets	0.01812	ENSG00000126453
Targets	0.08488	ENSG00000090054
Targets	-0.12377	ENSG00000060688
Targets	0.04593	ENSG00000179041
Targets	0.03038	ENSG00000169689
Targets	0.0205	ENSG00000178913
Targets	-0.09263	ENSG00000165527
Targets	-0.00306	ENSG00000153976
Targets	-0.0103	ENSG00000152942
Targets	0.02162	ENSG00000060762
Targets	-0.01787	ENSG00000069998
Targets	-0.18585	ENSG00000133112
Targets	-0.09842	ENSG00000124207
Targets	0.03974	ENSG00000146425
Targets	0.03291	ENSG00000198169
Targets	-0.05367	ENSG00000048162
Targets	0.06716	ENSG00000147687
Targets	0.18727	ENSG00000115392
Targets	0.01052	ENSG00000256966
Targets	0.10326	ENSG00000004975
Targets	0.03701	ENSG00000169223
Targets	0.34377	ENSG00000073605
Targets	0.01798	ENSG00000135334
Targets	0.01624	ENSG00000169220
Targets	0.04105	ENSG00000089053
Targets	0.03303	ENSG00000165630
Targets	0.05653	ENSG00000131475
Targets	0.21061	ENSG00000177383
Targets	0.06838	ENSG00000105173
Targets	0.10996	ENSG00000065057
Targets	0.01344	ENSG00000151929
Targets	0.20157	ENSG00000171224
Targets	0.14275	ENSG00000256073
Targets	0.08223	ENSG00000159596
Targets	-0.00183	ENSG00000103121
Targets	0.08037	ENSG00000197056
Targets	0.21361	ENSG00000106976
Targets	0.29822	ENSG00000213658
Targets	-0.12945	ENSG00000035681
Targets	-0.15307	ENSG00000197265
Targets	-0.12182	ENSG00000115484
Targets	-0.05234	ENSG00000120438
Targets	0.02857	ENSG00000172216
Targets	-0.09612	ENSG00000008324
Targets	-0.02656	ENSG00000004779
Targets	-0.06591	ENSG00000140395
Targets	0.14521	ENSG00000169231
Targets	-0.21433	ENSG00000115268
