gene_id	RBP_only_corr	RBP_and_lncRNA_corr
ENSG00000213445	0.01707	0.12092
ENSG00000175197	0.22507	0.16313
ENSG00000204469	0.52781	0.51892
ENSG00000101940	0.21401	0.21357
ENSG00000126458	0.30301	0.27077
ENSG00000105707	-0.05687	-0.09531
ENSG00000126368	0.47215	0.46716
ENSG00000183087	0.40328	0.32448
ENSG00000187193	0.33662	0.37807
ENSG00000160799	0.52735	0.56629
ENSG00000147251	0.40642	0.40301
ENSG00000163932	0.10445	0.24636
ENSG00000143545	0.49302	0.56475
ENSG00000197933	0.68783	0.71613
ENSG00000122257	0.6579	0.68101
ENSG00000136997	0.32871	0.56117
ENSG00000132323	0.63935	0.64213
ENSG00000102226	0.1882	0.59828
ENSG00000123358	0.36002	0.33225
ENSG00000117318	0.49885	0.48986
ENSG00000027697	0.18719	0.25855
ENSG00000157873	0.41594	0.53057
ENSG00000125503	0.22233	0.2016
ENSG00000070047	0.66375	0.7091
ENSG00000174718	0.42359	0.48919
ENSG00000174938	-0.28216	0.27076
ENSG00000116871	-0.06325	0.16947
ENSG00000114315	0.49656	0.51527
ENSG00000008869	0.75727	0.76545
ENSG00000120129	0.32595	0.33175
ENSG00000156983	0.67854	0.71162
ENSG00000065154	0.46067	0.56369
ENSG00000008405	0.48359	0.45751
ENSG00000184886	0.31335	0.42601
ENSG00000079432	0.45417	0.44541
ENSG00000125968	0.16983	0.19939
ENSG00000157613	0.02619	0.07507
ENSG00000168216	0.48307	0.67305
ENSG00000162736	0.46416	0.53206
ENSG00000172216	0.14437	0.34413
ENSG00000116266	0.71539	0.68777
ENSG00000196422	0.17824	0.38841
ENSG00000060069	0.39007	0.54664
ENSG00000177728	0.25461	0.4054
ENSG00000131669	-0.14541	0.02065
ENSG00000115738	0.26777	0.22604
ENSG00000119139	0.51125	0.5207
ENSG00000169242	0.3812	0.38322
ENSG00000175130	-0.07688	0.21115
ENSG00000072182	-0.3337	0.40346
ENSG00000177303	0.48247	0.47901
ENSG00000100109	0.36131	0.48562
ENSG00000142655	0.33653	0.37649
ENSG00000083857	0.54902	0.54282
ENSG00000141582	0.07812	0.0337
ENSG00000126705	0.47791	0.47763
ENSG00000179431	0.11916	0.22696
ENSG00000120075	0.38364	0.45321
ENSG00000121104	0.42451	0.50892
ENSG00000168758	0.60408	0.59595
ENSG00000167716	0.6098	0.74242
ENSG00000160271	0.12955	0.16326
