gene_id	RBP_only_corr	RBP_and_lncRNA_corr
ENSG00000213445	0.06977	0.10193
ENSG00000175197	0.03086	0.06514
ENSG00000204469	0.27439	0.29457
ENSG00000101940	0.23895	0.23208
ENSG00000126458	0.54709	0.58366
ENSG00000105707	0.07394	0.07681
ENSG00000126368	0.16277	0.17914
ENSG00000183087	0.24027	0.23497
ENSG00000187193	0.10234	0.0689
ENSG00000160799	0.05106	0.07148
ENSG00000147251	0.18758	0.19561
ENSG00000163932	0.34132	0.33588
ENSG00000143545	0.47904	0.48424
ENSG00000197933	0.13341	0.17137
ENSG00000122257	0.45042	0.446
ENSG00000136997	0.28254	0.28317
ENSG00000132323	0.13599	0.13841
ENSG00000102226	0.1813	0.20737
ENSG00000123358	0.00749	-0.01411
ENSG00000117318	0.2067	0.20941
ENSG00000027697	0.08225	0.26302
ENSG00000157873	0.16751	0.19362
ENSG00000125503	0.11752	0.17468
ENSG00000070047	0.22316	0.31669
ENSG00000174718	0.41435	0.41105
ENSG00000174938	0.24698	0.23254
ENSG00000116871	0.52109	0.51865
ENSG00000114315	0.1359	0.1817
ENSG00000008869	0.5583	0.5894
ENSG00000120129	0.38643	0.39838
ENSG00000156983	0.21353	0.24207
ENSG00000065154	0.13827	0.11604
ENSG00000008405	0.3048	0.30186
ENSG00000079432	0.23146	0.27188
ENSG00000125968	0.4239	0.42523
ENSG00000157613	0.2684	0.2662
ENSG00000168216	0.20481	0.22114
ENSG00000162736	0.0893	0.08497
ENSG00000172216	0.27587	0.29308
ENSG00000116266	0.08318	0.08857
ENSG00000196422	0.21138	0.20175
ENSG00000060069	0.08582	0.14421
ENSG00000177728	0.23603	0.27993
ENSG00000131669	0.27095	0.31388
ENSG00000115738	0.19354	0.15857
ENSG00000119139	0.27061	0.27281
ENSG00000169242	0.09561	0.13618
ENSG00000175130	0.30922	0.30178
ENSG00000072182	0.13904	0.17159
ENSG00000177303	0.28548	0.27976
ENSG00000100109	0.14863	0.22849
ENSG00000142655	0.43934	0.44908
ENSG00000083857	0.29185	0.28537
ENSG00000141582	0.11228	0.13798
ENSG00000126705	0.47408	0.47086
ENSG00000179431	0.38377	0.38057
ENSG00000120075	0.00872	-0.00051
ENSG00000121104	0.35455	0.373
ENSG00000168758	0.16632	0.17212
ENSG00000167716	0.06237	0.20154
ENSG00000160271	0.32254	0.34266
ENSG00000072071	0.25414	0.26169
ENSG00000152804	0.06924	0.06216
ENSG00000175556	-0.01651	-0.0074
ENSG00000020256	0.11655	0.11674
ENSG00000165359	0.21547	0.30065
ENSG00000116580	0.35388	0.42209
ENSG00000198793	0.32437	0.34522
ENSG00000139182	0.28678	0.31847
ENSG00000185236	0.23523	0.25628
ENSG00000115310	0.42616	0.42943
ENSG00000127870	0.13805	0.18212
ENSG00000128917	0.176	0.18691
ENSG00000065526	0.47812	0.55938
ENSG00000130827	0.28559	0.30836
ENSG00000143862	0.04827	0.10132
ENSG00000106537	-0.16176	-0.06158
ENSG00000100906	0.09727	0.10608
ENSG00000101474	0.30658	0.30022
ENSG00000110514	0.33655	0.34227
ENSG00000147364	0.28573	0.29438
ENSG00000164695	0.08591	0.0911
ENSG00000175348	0.28531	0.32606
ENSG00000172071	0.29984	0.28201
ENSG00000052841	0.11513	0.15231
ENSG00000148296	0.17923	0.23086
ENSG00000188313	0.10033	0.10251
ENSG00000105856	0.11948	0.12496
ENSG00000102100	0.24639	0.25018
ENSG00000162909	0.47412	0.46964
ENSG00000043355	0.13504	0.11844
ENSG00000132002	0.20816	0.24167
ENSG00000103326	0.11958	0.2441
ENSG00000109099	0.39289	0.36425
ENSG00000092820	0.1529	0.18243
ENSG00000163162	0.17759	0.22653
ENSG00000119715	0.19906	0.27397
ENSG00000102804	0.09898	0.11648
ENSG00000112812	0.21166	0.20637
ENSG00000162298	0.11248	0.24604
ENSG00000134049	0.19325	0.17106
ENSG00000166831	0.11069	0.12451
ENSG00000101230	0.00346	-0.02132
ENSG00000034053	0.04733	0.10545
ENSG00000117616	0.23339	0.37464
ENSG00000147050	0.34566	0.34101
ENSG00000104763	0.11793	0.11665
ENSG00000177606	0.38615	0.38419
ENSG00000120616	0.3801	0.37746
ENSG00000149177	0.23498	0.23916
ENSG00000182087	0.18928	0.30584
ENSG00000135269	0.05247	0.04865
ENSG00000123636	0.41263	0.39775
ENSG00000167110	0.33094	0.33128
ENSG00000108262	0.11564	0.13278
ENSG00000254087	0.17956	0.17348
ENSG00000125304	0.00376	0.10356
ENSG00000109046	0.20878	0.27434
ENSG00000050405	0.31977	0.32774
ENSG00000131435	0.39325	0.38549
ENSG00000146757	0.44256	0.44832
ENSG00000127561	0.08126	0.14628
ENSG00000120738	0.00713	0.08547
ENSG00000137509	0.12856	0.12515
ENSG00000112787	0.27656	0.31058
ENSG00000125170	0.202	0.23375
ENSG00000155090	-0.00577	0.00336
ENSG00000172432	0.06584	0.17497
ENSG00000011566	0.15479	0.14553
ENSG00000113583	0.26322	0.28586
ENSG00000130821	0.25002	0.23964
ENSG00000144566	0.06612	0.11306
ENSG00000168575	0.27429	0.27579
ENSG00000001084	0.05653	0.06895
ENSG00000076706	0.29167	0.30945
ENSG00000158747	0.31239	0.34371
ENSG00000134363	0.2765	0.2744
ENSG00000196588	0.0446	0.05037
ENSG00000163875	0.38205	0.3755
ENSG00000108557	0.244	0.26026
ENSG00000171603	0.28695	0.28443
ENSG00000144579	-0.02113	0.08963
ENSG00000100425	0.29699	0.31059
ENSG00000164251	0.26409	0.2736
ENSG00000130779	0.33443	0.33268
ENSG00000011304	0.26112	0.2614
ENSG00000134326	0.06978	0.07989
ENSG00000068885	0.21923	0.22953
ENSG00000163527	0.32825	0.33071
ENSG00000034677	0.09822	0.09184
ENSG00000101665	0.21316	0.21034
ENSG00000181027	0.2732	0.28685
ENSG00000197081	0.15194	0.14543
ENSG00000102996	0.22083	0.23455
ENSG00000154080	0.06665	0.06974
ENSG00000111907	0.22083	0.20186
ENSG00000160014	0.19039	0.20252
ENSG00000009335	0.18945	0.18533
ENSG00000102554	0.20239	0.22482
ENSG00000196937	0.04096	0.01336
ENSG00000068078	0.00744	0.00424
ENSG00000139292	0.22625	0.20107
ENSG00000131873	0.11936	0.11355
ENSG00000008130	0.28045	0.28135
ENSG00000159200	0.22316	0.20562
ENSG00000148400	-0.03432	-0.04437
ENSG00000196792	0.24121	0.2285
ENSG00000101150	0.37636	0.37981
ENSG00000156650	0.40602	0.41564
ENSG00000170448	0.37448	0.40394
ENSG00000131165	0.21494	0.21483
ENSG00000171867	0.40848	0.40697
ENSG00000164305	0.25869	0.23601
ENSG00000119541	0.19216	0.18928
ENSG00000143126	0.20103	0.19217
ENSG00000240849	0.2664	0.29555
ENSG00000187164	0.14793	0.13368
ENSG00000085721	0.26231	0.26219
ENSG00000184916	0.32645	0.31084
ENSG00000012660	0.01576	0.02883
ENSG00000054598	0.24023	0.23242
ENSG00000135097	0.18009	0.17241
ENSG00000133872	0.06767	0.04019
ENSG00000198915	0.10027	0.09486
ENSG00000189067	0.15878	0.19724
ENSG00000198959	0.36625	0.33257
ENSG00000127948	0.1897	0.18788
ENSG00000164830	0.20686	0.21933
ENSG00000044574	0.26647	0.26611
ENSG00000165802	0.16778	0.16545
ENSG00000130449	0.18362	0.19898
ENSG00000161526	0.17676	0.17681
ENSG00000154734	0.40454	0.39828
ENSG00000108639	0.05071	0.04008
ENSG00000186834	0.22071	0.22152
ENSG00000162734	0.45542	0.45308
ENSG00000006453	0.21065	0.20274
ENSG00000115806	0.02414	0.0034
ENSG00000205213	0.17464	0.17934
ENSG00000038427	0.28486	0.28001
ENSG00000165355	0.25611	0.25412
ENSG00000184937	0.01154	0.00896
ENSG00000116731	0.45673	0.47633
ENSG00000112874	0.05486	0.09481
ENSG00000157240	0.12708	0.11109
ENSG00000198435	0.35575	0.36803
ENSG00000066629	0.23059	0.22176
ENSG00000173334	0.1442	0.14268
ENSG00000111737	0.05729	0.10097
ENSG00000136842	0.08843	0.12067
ENSG00000181751	0.14775	0.15364
ENSG00000198814	0.31438	0.30838
ENSG00000153339	0.38157	0.38202
ENSG00000112033	0.32305	0.32011
ENSG00000141551	0.31429	0.32002
ENSG00000221978	0.27317	0.42828
ENSG00000129911	0.24006	0.24083
ENSG00000100241	0.00695	0.14866
ENSG00000158321	0.19615	0.17887
ENSG00000157404	0.04225	0.05303
ENSG00000004799	-0.14683	-0.14065
ENSG00000241839	0.22939	0.23278
ENSG00000108669	0.14201	0.20512
ENSG00000155760	0.27803	0.27494
ENSG00000130340	0.24329	0.25462
ENSG00000082074	-0.08507	-0.10353
ENSG00000091129	0.0852	0.11289
ENSG00000173064	0.37316	0.44918
ENSG00000110048	0.24729	0.2435
ENSG00000134755	0.20511	0.20978
ENSG00000046604	0.21147	0.21048
ENSG00000105976	0.30964	0.27574
ENSG00000130749	0.25103	0.30585
ENSG00000110075	0.32588	0.3214
ENSG00000181104	0.27851	0.26394
ENSG00000146830	0.23344	0.3647
ENSG00000125347	-0.00951	0.07946
ENSG00000184384	0.21542	0.20997
ENSG00000134910	0.08066	0.0721
ENSG00000197037	0.05086	0.18735
ENSG00000140332	0.24206	0.26552
ENSG00000204519	0.34547	0.39468
ENSG00000121481	0.33576	0.33277
ENSG00000166454	0.16543	0.15714
ENSG00000101670	0.27937	0.24103
ENSG00000146083	0.4202	0.41278
ENSG00000130164	0.22576	0.21852
ENSG00000084676	0.39748	0.4007
ENSG00000184545	0.16832	0.1538
ENSG00000139718	0.2742	0.36325
ENSG00000119707	0.32127	0.38909
ENSG00000074755	-0.02593	0.21696
ENSG00000157107	0.22192	0.25378
ENSG00000176597	0.23002	0.20535
ENSG00000105971	0.45932	0.44195
ENSG00000106078	0.14131	0.16868
ENSG00000011007	0.29834	0.31226
ENSG00000155304	0.07171	0.06123
ENSG00000185950	0.049	0.03782
ENSG00000071564	0.27382	0.28263
ENSG00000163347	0.33871	0.36613
ENSG00000065809	0.09907	0.14066
ENSG00000069020	0.11734	0.10525
ENSG00000122574	0.06681	0.07579
ENSG00000165915	0.4625	0.46469
ENSG00000121281	-0.12891	0.03812
ENSG00000130224	0.10829	0.14411
ENSG00000005020	0.00608	0.01458
ENSG00000181744	0.28782	0.28576
ENSG00000106299	0.18348	0.20075
ENSG00000069424	0.29285	0.32128
ENSG00000183723	0.2372	0.24375
ENSG00000042429	0.29537	0.29177
ENSG00000142599	0.36351	0.37966
ENSG00000132294	0.11021	0.16161
ENSG00000158805	0.15011	0.37011
ENSG00000141644	0.10389	0.28154
ENSG00000143641	0.33625	0.32596
ENSG00000005339	0.33328	0.34561
ENSG00000118200	0.21715	0.20762
ENSG00000176490	-0.03798	-0.04714
ENSG00000182771	0.1647	0.1609
ENSG00000178538	0.03503	0.03752
ENSG00000168743	0.13524	0.1399
ENSG00000185551	0.31591	0.3112
ENSG00000005893	0.26679	0.25726
ENSG00000197122	0.22137	0.22943
ENSG00000143093	0.31809	0.34338
ENSG00000166086	0.02488	0.09523
ENSG00000110881	0.03571	0.03107
ENSG00000011275	0.15156	0.17162
ENSG00000116675	0.17875	0.22061
ENSG00000086062	0.32606	0.35714
ENSG00000183864	0.187	0.19846
ENSG00000198363	0.35953	0.38465
ENSG00000143384	0.066	0.07963
ENSG00000088256	0.35227	0.34127
ENSG00000140391	0.04747	0.09248
ENSG00000102158	0.12415	0.13177
ENSG00000166734	0.07191	0.09474
ENSG00000072786	0.24324	0.25036
ENSG00000183495	0.23551	0.32231
ENSG00000184602	0.15528	0.15936
ENSG00000084444	0.23175	0.22984
ENSG00000132824	0.16198	0.17378
ENSG00000140941	0.15625	0.18713
ENSG00000164402	0.19861	0.21272
ENSG00000204256	0.369	0.37852
ENSG00000130559	0.3248	0.34553
ENSG00000164181	0.1581	0.14641
