gene_id	RBP_only_corr	RBP_and_lncRNA_corr
ENSG00000164611	0.27944	0.31859
ENSG00000258643	-0.00864	0.01893
ENSG00000185608	-0.04894	0.09967
ENSG00000169020	0.09172	0.08501
ENSG00000005448	0.17231	0.15881
ENSG00000128272	-0.15019	-0.07363
ENSG00000188394	-0.01194	0.02116
ENSG00000154719	0.31919	0.4011
ENSG00000138399	0.29507	0.29688
ENSG00000181392	0.00826	0.20492
ENSG00000124588	0.08761	0.11778
ENSG00000070785	0.3932	0.38974
ENSG00000134901	-0.05672	-0.02201
ENSG00000066279	0.3654	0.36602
ENSG00000149925	0.12876	0.13749
ENSG00000077312	0.46207	0.46908
ENSG00000128228	0.05856	0.05644
ENSG00000176946	0.01075	0.06242
ENSG00000006712	0.16945	0.17039
ENSG00000204316	-0.12685	0.0316
ENSG00000115128	0.16406	0.18837
ENSG00000151500	0.22033	0.23087
ENSG00000163923	0.01023	0.00638
ENSG00000124570	0.30062	0.33316
ENSG00000157456	0.39845	0.41175
ENSG00000182712	0.09221	0.08967
ENSG00000132432	0.01611	0.02424
ENSG00000162385	0.3816	0.38117
ENSG00000104889	0.35291	0.36694
ENSG00000105404	0.21609	0.22207
ENSG00000197961	0.25698	0.30636
ENSG00000100288	-0.10481	0.27306
ENSG00000213722	0.15087	0.14284
ENSG00000265303	-0.1086	-0.03567
ENSG00000188229	0.06968	0.04731
ENSG00000204435	0.15124	0.13749
ENSG00000166477	0.20514	0.19707
ENSG00000135314	0.18887	0.22152
ENSG00000067057	0.1732	0.19615
ENSG00000197728	0.16859	0.17467
ENSG00000237649	0.37275	0.37598
ENSG00000105538	-0.00056	0.11354
ENSG00000172428	-0.14505	0.13961
ENSG00000154723	0.19778	0.26326
ENSG00000243678	-0.06724	0.00638
ENSG00000216490	0.08097	0.13819
ENSG00000111716	0.20872	0.19816
ENSG00000125462	0.02048	0.38425
ENSG00000259305	0.30305	0.32212
ENSG00000117133	0.32538	0.33882
ENSG00000117395	0.21517	0.21126
ENSG00000077348	0.27338	0.26885
ENSG00000068120	0.08594	0.11922
ENSG00000108518	-0.07077	0.11554
ENSG00000105321	0.14545	0.14132
ENSG00000145912	0.16721	0.23889
ENSG00000259132	-0.05478	-0.04561
ENSG00000166598	0.11902	0.17604
ENSG00000141428	0.25138	0.2491
ENSG00000093009	0.32976	0.3235
ENSG00000135829	0.61875	0.62205
ENSG00000198171	-0.011	0.10045
ENSG00000105193	0.09965	0.17237
ENSG00000256188	0.04982	0.09602
ENSG00000143947	0.10111	0.11965
ENSG00000177352	-0.14749	0.03561
ENSG00000164051	-0.1657	-0.17879
ENSG00000186871	0.40806	0.42807
ENSG00000096384	0.29156	0.29101
ENSG00000232040	-0.01374	0.23721
ENSG00000165304	0.31998	0.31566
ENSG00000168288	-0.08885	0.11146
ENSG00000182117	-0.06367	0.12262
ENSG00000172336	0.07688	0.07193
ENSG00000130255	-0.01316	0.12185
ENSG00000089289	-0.01657	0.07628
ENSG00000107281	-0.13448	-0.00801
ENSG00000138385	0.41868	0.41246
ENSG00000029639	0.07442	0.19777
ENSG00000163399	0.0762	0.08141
ENSG00000125148	0.19115	0.22972
ENSG00000007255	-0.1274	-0.0367
ENSG00000078674	0.26978	0.28557
ENSG00000102390	0.07477	0.12678
ENSG00000166851	0.3485	0.36041
ENSG00000130177	0.00425	-0.00382
ENSG00000156469	0.37347	0.3743
ENSG00000134809	0.27411	0.27216
ENSG00000143294	0.23151	0.26875
ENSG00000178057	0.10543	0.09934
ENSG00000167468	0.14083	0.1547
ENSG00000125534	0.24655	0.24476
ENSG00000105677	0.06225	0.04941
ENSG00000185475	0.1209	0.15972
ENSG00000129562	0.07266	0.06327
ENSG00000089737	0.26729	0.30172
ENSG00000137947	0.1359	0.12727
ENSG00000125991	0.24761	0.24315
ENSG00000184584	0.22406	0.1977
ENSG00000118705	0.19405	0.2094
ENSG00000137563	-0.01535	-0.01494
ENSG00000053371	0.05928	0.09856
ENSG00000007080	0.02094	0.06619
ENSG00000131495	0.04541	0.03384
ENSG00000088826	0.2264	0.21631
ENSG00000180817	0.21284	0.21021
ENSG00000086504	0.03844	0.01718
ENSG00000177192	0.13961	0.16892
ENSG00000213934	-0.02982	-0.01636
ENSG00000163536	0.03812	0.01148
ENSG00000164182	-0.01563	0.11374
ENSG00000085840	0.49414	0.49223
ENSG00000087302	0.2691	0.25854
ENSG00000004487	0.44925	0.44404
ENSG00000104549	0.1288	0.1403
ENSG00000135624	0.30234	0.32503
ENSG00000183684	0.34389	0.36109
ENSG00000143228	0.40681	0.40484
ENSG00000262814	0.03967	0.05952
ENSG00000116521	0.08278	0.10457
ENSG00000042753	0.10262	0.1532
ENSG00000140990	0.08542	0.08114
ENSG00000134153	0.15553	0.14862
ENSG00000148444	-0.00751	0.02637
ENSG00000221995	-0.00481	0.18673
ENSG00000067248	-0.06755	-0.03936
ENSG00000102316	0.1515	0.1638
ENSG00000164346	0.14458	0.21512
ENSG00000241837	0.18334	0.21494
ENSG00000182944	0.34056	0.33956
ENSG00000130023	0.01411	0.03463
ENSG00000260537	-0.05881	-0.04852
ENSG00000130066	0.30586	0.2979
ENSG00000253250	0.05396	0.05848
ENSG00000105583	-0.04309	-0.07892
ENSG00000116649	0.31255	0.31963
ENSG00000241058	0.203	0.22582
ENSG00000267855	0.19005	0.18378
ENSG00000156482	-0.07802	0.0264
ENSG00000169750	-0.01984	0.01765
ENSG00000120306	0.21673	0.20957
ENSG00000204388	0.06143	0.08351
ENSG00000138381	0.32987	0.33076
ENSG00000121716	-0.1476	0.35568
ENSG00000175575	0.10716	0.17674
ENSG00000203760	0.35556	0.39003
ENSG00000158373	0.03469	0.22692
ENSG00000196290	0.33779	0.33825
ENSG00000164104	0.46114	0.46239
ENSG00000180992	-0.08006	0.07774
ENSG00000169564	0.09099	0.08912
ENSG00000127884	-0.13875	-0.05476
ENSG00000130818	-0.06899	0.01662
ENSG00000177954	-0.07875	-0.02034
ENSG00000090520	0.04691	0.14509
ENSG00000134825	0.05166	0.06578
ENSG00000153774	0.28131	0.27793
ENSG00000109083	0.02266	0.07959
ENSG00000163344	-0.15142	-0.14961
ENSG00000215021	0.17476	0.21268
ENSG00000166508	0.39266	0.39562
ENSG00000197903	-0.0921	0.18092
ENSG00000259494	0.10376	0.11729
ENSG00000102226	0.18409	0.17523
ENSG00000164647	0.23548	0.23339
ENSG00000173992	0.08999	0.26137
ENSG00000213123	0.23337	0.23956
ENSG00000100749	0.45792	0.44795
ENSG00000143499	0.0836	0.07578
ENSG00000100632	0.38722	0.39049
ENSG00000130822	0.08567	0.079
ENSG00000137818	-0.05623	0.00881
ENSG00000168701	0.09227	0.16699
ENSG00000114784	0.18807	0.24767
ENSG00000133027	0.00385	0.05864
