gene_id	RBP_only_corr	RBP_and_lncRNA_corr
ENSG00000156256	-0.01334	-0.02485
ENSG00000163399	0.19601	0.19499
ENSG00000118705	-0.01381	0.02124
ENSG00000102316	-0.05889	0.02673
ENSG00000198242	0.17947	0.20406
ENSG00000142856	0.19711	0.21839
ENSG00000055130	-0.01946	0.03914
ENSG00000138778	-0.15032	0.1928
ENSG00000116906	0.23831	0.24171
ENSG00000164032	0.16401	0.22868
ENSG00000147687	-0.11689	0.05789
ENSG00000138801	0.1809	0.17253
ENSG00000184897	0.10886	0.18118
ENSG00000133112	0.10363	0.20558
ENSG00000104408	0.03394	0.18045
ENSG00000177105	0.10958	0.12434
ENSG00000168078	0.01268	0.07778
ENSG00000134291	0.15996	0.18569
ENSG00000180964	-0.02203	-0.02069
ENSG00000173409	0.22843	0.21559
ENSG00000141698	0.13715	0.16033
ENSG00000188846	0.00678	0.06526
ENSG00000133740	0.13664	0.10568
ENSG00000214194	-0.10756	0.00271
ENSG00000102409	-0.00815	0.21213
ENSG00000089220	0.2096	0.21352
ENSG00000031691	-0.06711	0.08985
ENSG00000057608	0.13946	0.27464
ENSG00000101444	0.15829	0.20014
ENSG00000175745	-0.12035	-0.12875
ENSG00000103507	0.03115	0.0054
ENSG00000254999	0.1135	0.26929
ENSG00000204628	-0.09471	0.10229
ENSG00000173456	0.19724	0.18568
ENSG00000146007	-0.15128	0.05075
ENSG00000183527	-0.06179	-0.08638
ENSG00000025156	0.12901	0.15912
ENSG00000131473	-0.01331	-0.00909
ENSG00000114779	-0.17192	0.00401
ENSG00000100528	-0.09395	0.26339
ENSG00000143870	0.07892	0.0993
ENSG00000102978	0.15057	0.16015
ENSG00000146278	0.2179	0.18836
ENSG00000162086	0.16704	0.38464
ENSG00000169714	-0.0415	-0.05588
ENSG00000071539	0.20589	0.18443
ENSG00000164111	0.3232	0.31679
ENSG00000110958	-0.09518	0.23232
ENSG00000198901	-0.17985	-0.20366
ENSG00000134333	0.06011	0.20081
ENSG00000145386	0.03915	0.07431
ENSG00000107745	-0.13026	0.06934
ENSG00000183337	0.34258	0.39947
ENSG00000036549	0.07954	0.06574
ENSG00000171503	0.38994	0.38778
ENSG00000053770	0.31647	0.30955
ENSG00000164237	-0.00846	0.01558
ENSG00000147140	-0.125	-0.02651
ENSG00000146729	0.046	0.12906
ENSG00000184117	0.13793	0.13297
ENSG00000137575	0.23872	0.32146
ENSG00000113732	0.03771	0.21892
ENSG00000170558	-0.02382	0.1064
ENSG00000168036	0.32352	0.34885
ENSG00000183431	0.08189	0.077
ENSG00000143183	0.22092	0.19551
ENSG00000107789	0.10849	0.09859
ENSG00000121774	0.04026	0.07022
ENSG00000009307	-0.11614	-0.10981
ENSG00000108578	0.07871	0.11597
ENSG00000197050	0.22683	0.22874
ENSG00000179981	0.25482	0.26217
ENSG00000148672	0.12968	0.27997
ENSG00000131558	0.0606	0.04925
ENSG00000182054	0.39888	0.39669
ENSG00000101911	0.02368	0.10543
ENSG00000143321	0.03375	0.03039
ENSG00000147654	0.21617	0.2071
ENSG00000100941	-0.08859	0.35435
ENSG00000104738	-0.09804	-0.11284
ENSG00000108468	-0.04527	-0.0801
ENSG00000097046	0.01323	0.11782
ENSG00000056097	0.0303	0.03028
ENSG00000111276	0.25527	0.24237
ENSG00000129514	0.10625	0.12999
ENSG00000165119	0.0722	0.21099
ENSG00000023287	0.02832	0.02764
ENSG00000120948	0.10397	0.16159
ENSG00000137193	0.01411	0.02716
ENSG00000198860	0.21071	0.17354
ENSG00000076248	-0.10293	-0.04186
ENSG00000186298	-0.04288	0.09931
ENSG00000197275	-0.11862	-0.02231
ENSG00000076321	0.06346	0.11076
ENSG00000152767	0.04845	0.087
ENSG00000136108	0.01392	0.00018
ENSG00000122482	-0.01844	0.04622
ENSG00000137310	0.0516	0.05219
ENSG00000122203	0.205	0.26697
ENSG00000164219	0.20365	0.20781
ENSG00000100938	-0.151	-0.07089
ENSG00000148498	0.22188	0.21776
ENSG00000113790	0.25516	0.24532
ENSG00000164754	0.211	0.19785
ENSG00000131873	-0.12257	0.01448
ENSG00000093144	0.17456	0.17222
ENSG00000064726	0.04267	0.07575
ENSG00000014919	0.00518	0.10079
ENSG00000167785	-0.11329	0.14333
ENSG00000230989	0.06413	0.21136
ENSG00000214114	0.12564	0.13955
ENSG00000177733	-0.01843	0.13524
ENSG00000119801	0.08422	0.11052
ENSG00000106327	0.16186	0.15731
ENSG00000138698	0.10062	0.1028
ENSG00000147894	0.26697	0.25629
ENSG00000174720	0.20632	0.16104
ENSG00000112972	0.2648	0.2669
ENSG00000106034	0.22111	0.12205
ENSG00000120992	0.02981	0.21622
ENSG00000134602	0.09583	0.06872
ENSG00000131844	0.05257	0.09411
ENSG00000137822	0.12112	0.11116
ENSG00000114062	0.11408	0.09643
ENSG00000170271	0.13411	0.1869
ENSG00000158417	0.14036	0.14565
ENSG00000173812	0.03207	0.15487
ENSG00000128050	0.00437	0.02133
ENSG00000145354	0.17278	0.16197
ENSG00000149313	-0.00344	0.0183
ENSG00000119471	-0.03628	0.13104
ENSG00000143815	0.17212	0.16176
ENSG00000139323	0.12525	0.15334
ENSG00000108061	0.27413	0.30183
ENSG00000115839	0.02427	0.04066
ENSG00000104442	0.10786	0.17767
ENSG00000163900	0.13928	0.12875
ENSG00000109519	0.16375	0.23765
ENSG00000244509	0.20219	0.1611
ENSG00000164983	0.03249	0.04677
ENSG00000074696	-0.10931	0.12999
ENSG00000013523	0.03506	0.14799
ENSG00000063046	0.11896	0.0856
ENSG00000138592	-0.08015	-0.02779
ENSG00000183255	0.38974	0.38519
ENSG00000134283	0.07772	0.08608
ENSG00000197006	0.09837	0.1668
ENSG00000155380	0.1988	0.19574
ENSG00000198431	0.11121	0.14794
ENSG00000143033	0.05389	0.04845
ENSG00000168710	-0.09386	0.04331
ENSG00000136240	0.15486	0.16092
ENSG00000103540	0.23573	0.25052
ENSG00000089094	0.21936	0.2166
ENSG00000012963	0.3378	0.32336
ENSG00000147676	-0.0423	0.08035
ENSG00000127022	0.05537	0.02267
ENSG00000102081	0.01281	0.1216
ENSG00000172175	-0.10368	0.02144
ENSG00000067955	-0.02375	0.03138
ENSG00000244405	0.4169	0.40961
ENSG00000101126	0.17986	0.16901
ENSG00000185432	0.43176	0.4033
ENSG00000120696	0.28753	0.28196
ENSG00000165609	0.11705	0.15636
ENSG00000040341	0.2696	0.26125
ENSG00000138386	0.12701	0.11609
ENSG00000084733	-0.02089	0.19705
ENSG00000185515	0.07169	0.11533
ENSG00000120802	0.22325	0.21927
ENSG00000186193	0.03696	0.03277
ENSG00000148773	0.06668	0.18069
ENSG00000095209	0.04931	0.05853
ENSG00000152558	-0.04332	0.13065
ENSG00000157224	0.29872	0.30004
ENSG00000062485	0.09335	0.07022
ENSG00000153310	-0.11716	0.09254
ENSG00000163788	-0.1533	-0.10079
ENSG00000126858	0.17947	0.17289
ENSG00000153179	0.00829	0.16875
ENSG00000104660	0.07089	0.11763
ENSG00000075303	0.23107	0.23316
ENSG00000110344	-0.16966	0.16007
ENSG00000128595	0.36387	0.36247
ENSG00000123472	0.13583	0.12892
ENSG00000121644	0.05232	0.06428
ENSG00000169756	0.21798	0.21185
ENSG00000114120	0.06274	0.21942
ENSG00000124198	-0.03179	0.02943
ENSG00000145782	-0.06282	-0.07781
ENSG00000185344	0.18143	0.23979
ENSG00000134243	0.0433	0.0306
ENSG00000018510	0.22512	0.21467
ENSG00000182985	0.06291	0.22065
ENSG00000145592	0.06169	0.04799
ENSG00000172795	0.15493	0.16657
ENSG00000177425	0.05647	0.09063
ENSG00000205269	0.21794	0.21549
ENSG00000083312	0.20399	0.1953
ENSG00000070214	-0.04755	-0.09698
ENSG00000188647	-0.00073	0.32346
ENSG00000272325	0.11219	0.10177
ENSG00000092847	-0.1664	0.05287
ENSG00000105810	0.00338	0.08646
ENSG00000118579	0.21363	0.27067
ENSG00000168172	-0.11909	0.05082
ENSG00000143190	0.15073	0.25529
ENSG00000153721	-0.26249	-0.13835
